Title,Link,Languages,Web Frameworks,Libraries,Databases,Platforms,Other,Experience Level
Software Engineers (m/f/d) for .NET technologies with main focus backend and IoT,https://stackoverflow.com/jobs/368878/software-engineers-m-f-d-for-net-technologies-z%C3%BChlke-engineering-gmbh,"javascript,c,java","angular,spring",,,,,senior
Senior Software Engineer - Cloud,https://stackoverflow.com/jobs/376878/senior-software-engineer-cloud-milyli-inc,"asp,html,c",,"git,.net",,,,senior
Lead/Senior Backend Developer - We're motivated to code with a sense of purpose,https://stackoverflow.com/jobs/268694/lead-senior-backend-developer-were-motivated-kind,"javascript,java",spring,,,kubernetes,,senior
"Senior Software Engineer, Full-Stack",https://stackoverflow.com/jobs/354953/senior-software-engineer-full-stack-apple,"javascript,c,java,python","angular,react",,"elasticsearch,postgresql",,,other
"App Store Engineering, Software Engineer",https://stackoverflow.com/jobs/354910/app-store-engineering-software-engineer-apple,"javascript,c,java,python","angular,react",,"elasticsearch,postgresql",,,other
Software Engineers (Back End),https://stackoverflow.com/jobs/362603/software-engineers-back-end-ovo-group,"python,clojure,scala,typescript,java","react,node",react native,,kubernetes,,senior
Vacancy For PHP Developer,https://stackoverflow.com/jobs/379940/vacancy-for-php-developer-the-brihaspati-infotech-pvt,"javascript,php",,,mongodb,,,other
Senior Web Developer,https://stackoverflow.com/jobs/339325/senior-web-developer-omicron,"javascript,elixir,graphql,sql",,git,postgresql,"ios,linux",,other
Frontend Developer to Halebop,https://stackoverflow.com/jobs/380059/frontend-developer-to-halebop-telia-company,javascript,vue,,,,,other
JavaScript/PHP Engineers wanted to develop a system for dentist,https://stackoverflow.com/jobs/375835/javascript-php-engineers-wanted-to-develop-a-pyxos-inc-%E3%83%94%E3%82%AF%E3%82%AA%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,"javascript,php",,,,,,senior
QAエンジニア / インターネット/Webサービス・ASP,https://stackoverflow.com/jobs/376058/qa%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2-%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88-web%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9-asp-%E3%82%AF%E3%83%AC%E3%82%B8%E3%83%83%E3%83%88%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%B3-%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,python,django,,postgresql,,,other
Senior Full-stack Developer,https://stackoverflow.com/jobs/380100/senior-full-stack-developer-varian-medical-systems,"javascript,c",react,,,docker,,senior
Software Engineer - (Active TS SCI with Polygraph),https://stackoverflow.com/jobs/246780/software-engineer-active-ts-sci-with-polygraph-apex-expert-solutions,"javascript,c,java,python",,,,,,senior
Full-Stack Developer (m/w/d),https://stackoverflow.com/jobs/380056/full-stack-developer-m-w-d-grandcentrix-gmbh,"html,swift,c,kotlin,javascript,css,java","angular,vue",,,"android,kubernetes,amazon web services,ios,aws",,other
Web Applications Developer,https://stackoverflow.com/jobs/336562/web-applications-developer-rochdale-paragon-group,"javascript,asp,c",jquery,.net,,,,senior
Backend Software Engineer (Node.js) - Remote,https://stackoverflow.com/jobs/380115/backend-software-engineer-nodejs-remote-semanticbits,"sql,r,python",node,apache,,amazon web services,machine learning,other
(Senior) Backend Developer (m/f/d) in Berlin,https://stackoverflow.com/jobs/295411/senior-backend-developer-m-f-d-in-berlin-verimi-gmbh,"javascript,java",spring,,,,,senior
Senior Software Developer,https://stackoverflow.com/jobs/379910/senior-software-developer-endpoint-clinical,"asp,c",,.net,,,,other
ïƒ˜Software Engineer,https://stackoverflow.com/jobs/379818/%C3%AF%C6%92-software-engineer-kbridge-consulting-services,"asp,c",,.net,,,,other
Senior Software Engineer – UI (ILT),https://stackoverflow.com/jobs/373427/senior-software-engineer-ui-ilt-skillsoft,,react,,postgresql,,,other
Senior Frontend Engineer - Driver Team - Full Remote in Europe,https://stackoverflow.com/jobs/331386/senior-frontend-engineer-driver-team-full-heetch,,,,,,,other
Senior Software developer,https://stackoverflow.com/jobs/379803/senior-software-developer-bangalore-software-services,,react,,postgresql,,,other
"Engineer, Platform - MongoDB/RDS",https://stackoverflow.com/jobs/368577/engineer-platform-mongodb-rds-auth0,"php,golang,java,python","react,node,laravel",,"mongodb,postgresql","wordpress,amazon web services",,senior
Backend Developer,https://stackoverflow.com/jobs/371442/backend-developer-squire,,"node,express",,postgresql,,,senior
"UI/Frontend Software Engineer, Apple Pay Payments",https://stackoverflow.com/jobs/354907/ui-frontend-software-engineer-apple-pay-payments-apple,"javascript,c,java,python","angular,react",,"elasticsearch,postgresql",,,other
Senior Software Developer,https://stackoverflow.com/jobs/378259/senior-software-developer-abcellera,"html,css,sass,python","angular,django",,postgresql,docker,,senior
EOI - Software Engineer and/or Developer,https://stackoverflow.com/jobs/380039/eoi-software-engineer-and-or-developer-carsalescom-ltd,c,"angular,vue",,,amazon web services,,senior
Senior Software Engineer - Full-Stack - 3D Advanced Visualization Platform,https://stackoverflow.com/jobs/348039/senior-software-engineer-full-stack-3d-vital-images,"javascript,c,typescript,python",,,,linux,,senior
